"cid"	"pid1"	"pid2"	"relation"	"location"	"locid"	"department"	"startdate"	"stopdate"	"addedby"	"dateadded"
"178"	"164"	"161"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:55:23"
"179"	"165"	"125"	"1"	"Harvard University"	"86"	\N	"0000-00-00"	"1894-00-00"	"hayden"	"2005-01-17 11:00:46"
"180"	"165"	"148"	"1"	"Columbia University"	"54"	\N	"0000-00-00"	"1895-00-00"	"hayden"	"2005-01-17 11:01:08"
"182"	"124"	"166"	"1"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"1884-00-00"	"hayden"	"2005-01-17 11:07:01"
"183"	"167"	"154"	"1"	"University of Chicago"	"3797"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:20:14"
"184"	"169"	"168"	"2"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:24:24"
"185"	"7"	"169"	"0"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:24:45"
"186"	"61"	"168"	"1"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:25:32"
"187"	"25"	"61"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:41:09"
"188"	"170"	"44"	"2"	"University of Washington, Seattle"	"464"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 11:52:54"
"189"	"171"	"114"	"2"	"Australian National University"	"2128"	\N	"1939-00-00"	"1944-00-00"	"hayden"	"2005-01-17 12:02:06"
"190"	"65"	"114"	"1"	"Australian National University"	"2128"	\N	"1938-00-00"	"1944-00-00"	"hayden"	"2005-01-17 12:07:07"
"191"	"115"	"172"	"0"	" University of Cambridge"	"370"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 12:08:20"
"192"	"174"	"173"	"2"	"Cold Spring Harbor Laboratory"	"50"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 13:27:15"
"193"	"173"	"100"	"1"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 13:28:25"
"194"	"173"	"175"	"2"	"Salk Institute for Biological Studies"	"258"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 13:30:20"
"195"	"177"	"173"	"2"	"Cold Spring Harbor Laboratory"	"50"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 13:45:57"
"196"	"177"	"178"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 13:47:53"
"199"	"182"	"43"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 16:30:18"
"200"	"182"	"24"	"2"	"Baylor College of Medicine"	"20"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 16:30:36"
"201"	"177"	"86"	"2"	"Montana State University"	"177"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-17 16:32:56"
